16 16
2
6
5
7 8
0; 0;   0; 0;   0; 0;0;  0;   0; 0;0;   0;   0;   0;  0;   0
0;   0;  0; 0;   0;0; 0;  0;  0;0;  0;  0;  0;  0; 0;   0
0;   0;   0; 0; 0; 2;   2;   2;  2;  2; 2; 0;0; 0; 0;   0
0; 0;0;   0;0;0;2; 2;   2P; 2;2;  2; 2;   0;  0;0
0;   0;   1;1;1; 0;2; 2M;  2;   2;   0; 0;  0;   0; 0;  0
0;   0;   0; 1;   1;   1;  1;   1;2;2;2;2;2;0;   0;0
0;0;   1;1; 1; 1;2M;   2;2; 2M;  2;   2;  2;   0; 0; 0
0;   0;  1;1; 1;1;   2;   2;  2; 2;2; 0;0; 0;0; 0
0;   0;  4; 4; 4;  4; 2;   3;  3; 3;0; 0;0;  0; 0;   0
0;  0;  4;   4M;   4; 3;  3;   3; 3;3;  3;  0;0;0;0; 0
0; 0;4M;   4;  4; 3M;  3M; 3;4;  4;  0;  0;0;  0; 0;   0
0;  0; 4;4;4;4;  3;   3;  3;3;0;0;   0; 0; 0;  0
0;0;  4;  4M;   4; 4;   3;   3;3;   3;  3; 0;  0; 0;  0;  0
0;  0;   4P;   4;  4;  4;  4;4;   4;4;0;   0;  0; 0;0; 0
0;   0;  4;  4M;  4;   4;  4;  4;  4;   4P;0; 0;  0; 0;0;   0
0; 0;   0; 0;0;  0;   0; 0; 0;   0;  0;  0;0;0; 0;  0
